

============================== EXP at 2026-05-06 05:57:23 ==============================
dev | avg_loss: 2.7734375 | {'exact_match': 0.0, 'rougeL': 6.7734} | threshold: None
train | epoch   0 | g_step:      1/  7140 | loss: 3.3557 | res: 2.9378 | span: 0.4179 | λ: 0.005 | lr: 1.0000e-04 | scale: 1.0 | t: 0.675
train | epoch   0 | g_step:      2/  7140 | loss: 3.3171 | res: 4.6513 | span: 0.3956 | λ: 0.010 | lr: 1.0000e-04 | scale: 1.0 | t: 0.591
train | epoch   0 | g_step:      3/  7140 | loss: 3.5300 | res: 7.8730 | span: 0.3605 | λ: 0.015 | lr: 1.0000e-04 | scale: 1.0 | t: 0.565
train | epoch   0 | g_step:      4/  7140 | loss: 3.0351 | res: 3.8173 | span: 0.3055 | λ: 0.020 | lr: 1.0000e-04 | scale: 1.0 | t: 0.527
train | epoch   0 | g_step:      5/  7140 | loss: 2.9281 | res: 4.4097 | span: 0.2730 | λ: 0.025 | lr: 1.0000e-04 | scale: 1.0 | t: 0.484
train | epoch   0 | g_step:      6/  7140 | loss: 2.5529 | res: 3.4513 | span: 0.2362 | λ: 0.030 | lr: 1.0000e-04 | scale: 1.0 | t: 0.657
train | epoch   0 | g_step:      7/  7140 | loss: 3.1070 | res: 3.9567 | span: 0.2152 | λ: 0.035 | lr: 1.0000e-04 | scale: 1.0 | t: 0.466
train | epoch   0 | g_step:      8/  7140 | loss: 3.0590 | res: 3.7297 | span: 0.1821 | λ: 0.040 | lr: 1.0000e-04 | scale: 1.0 | t: 0.475
train | epoch   0 | g_step:      9/  7140 | loss: 3.2514 | res: 3.7482 | span: 0.1568 | λ: 0.045 | lr: 1.0000e-04 | scale: 1.0 | t: 0.591
train | epoch   0 | g_step:     10/  7140 | loss: 2.6725 | res: 3.3677 | span: 0.1284 | λ: 0.050 | lr: 1.0000e-04 | scale: 1.0 | t: 0.663
train | epoch   0 | g_step:     11/  7140 | loss: 2.8066 | res: 3.5169 | span: 0.1257 | λ: 0.055 | lr: 9.9999e-05 | scale: 1.0 | t: 0.464
train | epoch   0 | g_step:     12/  7140 | loss: 2.9699 | res: 4.0018 | span: 0.1223 | λ: 0.060 | lr: 9.9999e-05 | scale: 1.0 | t: 0.432
train | epoch   0 | g_step:     13/  7140 | loss: 2.6517 | res: 3.3768 | span: 0.1268 | λ: 0.065 | lr: 9.9999e-05 | scale: 1.0 | t: 0.634
train | epoch   0 | g_step:     14/  7140 | loss: 2.4595 | res: 3.2253 | span: 0.1226 | λ: 0.070 | lr: 9.9999e-05 | scale: 1.0 | t: 0.429
train | epoch   0 | g_step:     15/  7140 | loss: 3.0232 | res: 3.8689 | span: 0.1168 | λ: 0.075 | lr: 9.9999e-05 | scale: 1.0 | t: 0.452
train | epoch   0 | g_step:     16/  7140 | loss: 2.7628 | res: 3.5189 | span: 0.1036 | λ: 0.080 | lr: 9.9999e-05 | scale: 1.0 | t: 0.625
train | epoch   0 | g_step:     17/  7140 | loss: 2.4625 | res: 3.2590 | span: 0.1030 | λ: 0.085 | lr: 9.9999e-05 | scale: 1.0 | t: 0.465
train | epoch   0 | g_step:     18/  7140 | loss: 2.7203 | res: 3.6171 | span: 0.1017 | λ: 0.090 | lr: 9.9998e-05 | scale: 1.0 | t: 0.437
train | epoch   0 | g_step:     19/  7140 | loss: 2.5965 | res: 3.6930 | span: 0.0932 | λ: 0.095 | lr: 9.9998e-05 | scale: 1.0 | t: 0.644
train | epoch   0 | g_step:     20/  7140 | loss: 2.9646 | res: 4.0637 | span: 0.0857 | λ: 0.100 | lr: 9.9998e-05 | scale: 1.0 | t: 0.501
train | epoch   0 | g_step:     21/  7140 | loss: 2.6324 | res: 3.2390 | span: 0.0853 | λ: 0.105 | lr: 9.9998e-05 | scale: 1.0 | t: 0.433
train | epoch   0 | g_step:     22/  7140 | loss: 2.9796 | res: 3.9332 | span: 0.0792 | λ: 0.110 | lr: 9.9998e-05 | scale: 1.0 | t: 0.637
train | epoch   0 | g_step:     23/  7140 | loss: 2.8096 | res: 3.7671 | span: 0.0791 | λ: 0.115 | lr: 9.9997e-05 | scale: 1.0 | t: 0.473
train | epoch   0 | g_step:     24/  7140 | loss: 2.7309 | res: 3.4698 | span: 0.0868 | λ: 0.120 | lr: 9.9997e-05 | scale: 1.0 | t: 0.476
train | epoch   0 | g_step:     25/  7140 | loss: 2.6444 | res: 3.5192 | span: 0.0736 | λ: 0.125 | lr: 9.9997e-05 | scale: 1.0 | t: 0.641
train | epoch   0 | g_step:     26/  7140 | loss: 2.7553 | res: 3.9543 | span: 0.0713 | λ: 0.130 | lr: 9.9997e-05 | scale: 1.0 | t: 0.471
train | epoch   0 | g_step:     27/  7140 | loss: 2.8819 | res: 3.9594 | span: 0.0746 | λ: 0.135 | lr: 9.9996e-05 | scale: 1.0 | t: 0.443
train | epoch   0 | g_step:     28/  7140 | loss: 3.0520 | res: 3.9380 | span: 0.0765 | λ: 0.140 | lr: 9.9996e-05 | scale: 1.0 | t: 0.611
train | epoch   0 | g_step:     29/  7140 | loss: 2.6957 | res: 3.3981 | span: 0.0711 | λ: 0.145 | lr: 9.9996e-05 | scale: 1.0 | t: 0.590
train | epoch   0 | g_step:     30/  7140 | loss: 3.0535 | res: 3.7115 | span: 0.0660 | λ: 0.150 | lr: 9.9996e-05 | scale: 1.0 | t: 0.548
train | epoch   0 | g_step:     31/  7140 | loss: 2.8034 | res: 3.3906 | span: 0.0683 | λ: 0.155 | lr: 9.9995e-05 | scale: 1.0 | t: 0.484
train | epoch   0 | g_step:     32/  7140 | loss: 3.0818 | res: 3.9454 | span: 0.0702 | λ: 0.160 | lr: 9.9995e-05 | scale: 1.0 | t: 0.643
train | epoch   0 | g_step:     33/  7140 | loss: 2.9268 | res: 3.9284 | span: 0.0643 | λ: 0.165 | lr: 9.9995e-05 | scale: 1.0 | t: 0.514
train | epoch   0 | g_step:     34/  7140 | loss: 2.5268 | res: 3.1080 | span: 0.0638 | λ: 0.170 | lr: 9.9994e-05 | scale: 1.0 | t: 0.443
train | epoch   0 | g_step:     35/  7140 | loss: 3.0838 | res: 3.7797 | span: 0.0647 | λ: 0.175 | lr: 9.9994e-05 | scale: 1.0 | t: 0.597
train | epoch   0 | g_step:     36/  7140 | loss: 3.2856 | res: 4.0908 | span: 0.0613 | λ: 0.180 | lr: 9.9994e-05 | scale: 1.0 | t: 0.543
train | epoch   0 | g_step:     37/  7140 | loss: 3.1215 | res: 3.7233 | span: 0.0610 | λ: 0.185 | lr: 9.9993e-05 | scale: 1.0 | t: 0.533
train | epoch   0 | g_step:     38/  7140 | loss: 2.9468 | res: 3.7204 | span: 0.0605 | λ: 0.190 | lr: 9.9993e-05 | scale: 1.0 | t: 0.488
train | epoch   0 | g_step:     39/  7140 | loss: 2.5151 | res: 3.2712 | span: 0.0576 | λ: 0.195 | lr: 9.9993e-05 | scale: 1.0 | t: 0.512
train | epoch   0 | g_step:     40/  7140 | loss: 3.1555 | res: 3.7675 | span: 0.0619 | λ: 0.200 | lr: 9.9992e-05 | scale: 1.0 | t: 0.520
train | epoch   0 | g_step:     41/  7140 | loss: 2.7882 | res: 3.5240 | span: 0.0570 | λ: 0.205 | lr: 9.9992e-05 | scale: 1.0 | t: 0.496
train | epoch   0 | g_step:     42/  7140 | loss: 2.7810 | res: 3.8157 | span: 0.0576 | λ: 0.210 | lr: 9.9991e-05 | scale: 1.0 | t: 0.637
train | epoch   0 | g_step:     43/  7140 | loss: 2.8986 | res: 3.4367 | span: 0.0530 | λ: 0.215 | lr: 9.9991e-05 | scale: 1.0 | t: 0.457
train | epoch   0 | g_step:     44/  7140 | loss: 2.4643 | res: 3.2181 | span: 0.0567 | λ: 0.220 | lr: 9.9991e-05 | scale: 1.0 | t: 0.430
train | epoch   0 | g_step:     45/  7140 | loss: 2.3561 | res: 3.1728 | span: 0.0532 | λ: 0.225 | lr: 9.9990e-05 | scale: 1.0 | t: 0.555
train | epoch   0 | g_step:     46/  7140 | loss: 3.1580 | res: 3.9658 | span: 0.0574 | λ: 0.230 | lr: 9.9990e-05 | scale: 1.0 | t: 0.530
train | epoch   0 | g_step:     47/  7140 | loss: 2.4379 | res: 3.0099 | span: 0.0484 | λ: 0.235 | lr: 9.9989e-05 | scale: 1.0 | t: 0.479
train | epoch   0 | g_step:     48/  7140 | loss: 2.8839 | res: 3.6717 | span: 0.0497 | λ: 0.240 | lr: 9.9989e-05 | scale: 1.0 | t: 0.551
